order_id,customer_id,product_id,quantity,order_date
1,101,201,2,2025-04-01
2,102,202,1,2025-04-02
3,103,203,3,2025-04-03
4,104,204,4,2025-04-04
5,105,205,5,2025-04-05
6,106,206,6,2025-04-06
7,107,207,7,2025-04-07
8,108,208,8,2025-04-08
9,109,209,9,2025-04-09
10,110,210,10,2025-04-10
11,111,211,11,2025-04-11
12,112,212,12,2025-04-12
13,113,213,13,2025-04-13
14,114,214,14,2025-04-14
15,115,215,15,2025-04-15
16,116,216,16,2025-04-16
17,117,217,17,2025-04-17
18,118,218,18,2025-04-18
19,119,219,19,2025-04-19
20,120,220,20,2025-04-20
21,121,221,21,2025-04-21
22,122,222,22,2025-04-22
23,123,223,23,2025-04-23
24,124,224,24,2025-04-24
25,125,225,25,2025-04-25
26,126,226,26,2025-04-26
27,127,227,27,2025-04-27
28,128,228,28,2025-04-28
29,129,229,29,2025-04-29
30,130,230,30,2025-04-30
31,131,231,31,2025-05-01
32,132,232,32,2025-05-02
33,133,233,33,2025-05-03
34,134,234,34,2025-05-04
35,135,235,35,2025-05-05
36,136,236,36,2025-05-06
37,137,237,37,2025-05-07
38,138,238,38,2025-05-08
39,139,239,39,2025-05-09
40,140,240,40,2025-05-10
41,141,241,41,2025-05-11
42,142,242,42,2025-05-12
43,143,243,43,2025-05-13
44,144,244,44,2025-05-14
45,145,245,45,2025-05-15
46,146,246,46,2025-05-16
47,147,247,47,2025-05-17
48,148,248,48,2025-05-18
49,149,249,49,2025-05-19
50,150,250,50,2025-05-20
51,151,251,51,2025-05-21
52,152,252,52,2025-05-22
53,153,253,53,2025-05-23
54,154,254,54,2025-05-24
55,155,255,55,2025-05-25
56,156,256,56,2025-05-26
57,157,257,57,2025-05-27
58,158,258,58,2025-05-28
59,159,259,59,2025-05-29
60,160,260,60,2025-05-30
61,161,261,61,2025-05-31
62,162,262,62,2025-06-01
63,163,263,63,2025-06-02
64,164,264,64,2025-06-03
65,165,265,65,2025-06-04
66,166,266,66,2025-06-05
67,167,267,67,2025-06-06
68,168,268,68,2025-06-07
69,169,269,69,2025-06-08
70,170,270,70,2025-06-09
71,171,271,71,2025-06-10
72,172,272,72,2025-06-11
73,173,273,73,2025-06-12
74,174,274,74,2025-06-13
75,175,275,75,2025-06-14
76,176,276,76,2025-06-15
77,177,277,77,2025-06-16
78,178,278,78,2025-06-17
79,179,279,79,2025-06-18
80,180,280,80,2025-06-19
81,181,281,81,2025-06-20
82,182,282,82,2025-06-21
83,183,283,83,2025-06-22
84,184,284,84,2025-06-23
85,185,285,85,2025-06-24
86,186,286,86,2025-06-25
87,187,287,87,2025-06-26
88,188,288,88,2025-06-27
89,189,289,89,2025-06-28
90,190,290,90,2025-06-29
91,191,291,91,2025-06-30
92,192,292,92,2025-07-01
93,193,293,93,2025-07-02
94,194,294,94,2025-07-03
95,195,295,95,2025-07-04
96,196,296,96,2025-07-05
97,197,297,97,2025-07-06
98,198,298,98,2025-07-07
99,199,299,99,2025-07-08
100,200,300,100,2025-07-09
